second,Latitude,Longitude
237006967,35.5880664,51.2048147
237206738,35.5880747,51.2047802
237426661,35.5880843,51.204745
237606815,35.5880939,51.2047096
237806777,35.5881052,51.2046759
238027366,35.5881192,51.2046433
238226864,35.5881345,51.2046103
238451816,35.5881507,51.2045784
238606816,35.5881685,51.2045482
238806783,35.5881867,51.2045184
239007127,35.5882068,51.2044891
239251595,35.5882279,51.2044611
239426950,35.5882497,51.2044338
239626807,35.5882734,51.2044081
239806978,35.588298,51.2043834
240027059,35.5883239,51.2043595
240227019,35.5883513,51.2043383
240426698,35.5883793,51.2043172
240626764,35.5884092,51.2042983
240826751,35.5884403,51.2042808
241026754,35.5884717,51.2042641
241227015,35.5885045,51.2042505
241426941,35.5885381,51.2042385
241606885,35.5885731,51.2042291
241806796,35.5886088,51.2042214
242007360,35.5886452,51.2042156
242206740,35.5886819,51.204211
242406986,35.5887186,51.2042079
242606704,35.5887564,51.2042084
242806729,35.5887948,51.2042118
243007156,35.588833,51.2042171
243206808,35.5888716,51.2042259
243427041,35.5889103,51.2042362
243606711,35.5889493,51.2042494
243806728,35.5889886,51.2042652
244007130,35.5890272,51.2042833
244206708,35.5890655,51.204305
244427012,35.5891032,51.2043283
244626736,35.5891399,51.2043546
244806694,35.5891763,51.2043827
245006786,35.5892121,51.2044128
245226713,35.5892474,51.2044455
245406978,35.5892819,51.2044794
245626974,35.5893154,51.2045156
245806770,35.5893481,51.2045538
246006799,35.5893794,51.2045938
246206725,35.5894089,51.2046361
246407014,35.5894372,51.2046801
246607628,35.5894635,51.2047253
246806717,35.5894886,51.2047718
247006801,35.5895129,51.2048206
247187027,35.5895353,51.2048719
247430194,35.5895559,51.2049248
247630070,35.589575,51.2049788
247830650,35.589592,51.2050339
248048968,35.5896079,51.2050901
248230197,35.5896219,51.2051472
248430203,35.5896335,51.2052055
248606803,35.5896434,51.2052649
248848490,35.5896508,51.2053248
249030466,35.5896566,51.2053848
249230141,35.5896611,51.2054451
249430199,35.5896634,51.2055059
249630010,35.5896652,51.2055662
250030602,35.5896662,51.2056872
250230068,35.5896658,51.2057479
250430141,35.5896646,51.2058083
250630022,35.5896629,51.2058687
250830035,35.5896612,51.2059297
251030538,35.5896594,51.2059907
251230147,35.5896576,51.2060514
251406975,35.5896559,51.2061124
251630003,35.5896537,51.2061736
251830037,35.589651,51.2062345
252030587,35.5896478,51.2062955
252230495,35.5896441,51.2063569
252472145,35.5896392,51.2064183
252648760,35.5896324,51.2064799
252829746,35.5896234,51.206541
253030587,35.5896118,51.2066013
253230196,35.5895976,51.2066607
253430071,35.5895821,51.206719
253629988,35.5895653,51.2067769
253848650,35.5895469,51.2068339
254048979,35.5895269,51.2068901
254230181,35.5895059,51.2069464
254448794,35.5894844,51.207003
254629987,35.5894613,51.2070577
254848708,35.5894368,51.207112
255048705,35.5894104,51.2071654
255248687,35.5893825,51.2072176
255430152,35.5893536,51.2072689
255630011,35.5893229,51.2073177
255830009,35.58929,51.2073643
256048967,35.5892547,51.2074076
256230428,35.589218,51.2074481
256448649,35.58918,51.2074875
256630024,35.5891404,51.207524
256806800,35.5891007,51.2075605
257007016,35.5890589,51.2075936
257230207,35.5890176,51.2076257
257430061,35.5889754,51.2076553
257630012,35.5889335,51.2076851
257806929,35.5888904,51.2077114
258007088,35.5888464,51.2077351
258206928,35.5888021,51.2077557
258430304,35.588757,51.2077737
258607015,35.5887116,51.2077898
258807614,35.5886679,51.2078035
259007288,35.5886224,51.2078163
259230166,35.5885771,51.2078279
259430199,35.5885315,51.2078363
259606974,35.5884859,51.2078424
259807000,35.5884411,51.2078472
260007358,35.5883964,51.2078492
260207458,35.5883515,51.2078485
260407015,35.5883067,51.2078465
260606963,35.5882623,51.2078428
260807212,35.5882184,51.2078368
261007028,35.5881752,51.207828
261206706,35.588133,51.2078155
261406989,35.5880919,51.2078004
261606815,35.5880513,51.2077833
261829672,35.5880108,51.2077636
262007474,35.5879716,51.2077398
262206864,35.5879372,51.2077116
262387011,35.5879055,51.2076801
262630052,35.5878765,51.2076464
262830020,35.5878481,51.2076122
263007429,35.5878213,51.2075778
263230466,35.5877951,51.2075429
263407010,35.5877698,51.2075072
263606921,35.5877454,51.2074714
263787203,35.5877217,51.207435
264007499,35.5876994,51.2073978
264207015,35.5876776,51.2073597
264407020,35.5876565,51.2073209
264606788,35.5876369,51.2072815
264807054,35.5876187,51.2072405
265030582,35.5876031,51.2071979
265230062,35.5875907,51.2071545
265430210,35.5875814,51.20711
265630077,35.5875741,51.2070655
265848640,35.5875699,51.2070217
266048955,35.5875683,51.2069777
266230152,35.5875679,51.2069336
266448670,35.5875683,51.2068898
